सुधातु,1
अकङ्,1
कुञ्जादिभ्य,1
च्फञ्,1
हरितादिभ्य,1
अञ,1
यञिञो,1
शरद्वच्छुनकदर्भात्,1
भृगुवत्साग्रायणेषु,1
द्रोणपर्वतजीवन्तात्,1
अन्यतरयाम्,2
अनृषि,1
आनन्तर्ये,1
बिदादिभ्य,1
गर्गादिभ्य,1
यञ्,4
मधुबभ्र्वो,1
ब्राह्मणकौशिकयो,1
कपिबोधात्,1
आङ्गिरसे,1
वतण्डात्,1
भर्गात्,1
त्रैगर्ते,1
शिवादिभ्य,1
अवृद्धाभ्य,1
नदीमानुषीभ्य,1
तन्नामिकाभ्य,1
ऋष्यन्धकवृष्णिकुरुभ्य,1
मातु,1
उत्,11
संख्यासम्भद्रपूर्वाया,1
विकर्णशुङ्गच्छगलात्,1
वत्सभरद्वाजात्रिषु,1
पीलाया,1
ढक्,7
मण्डूकात्,1
स्त्रीभ्य,1
अनिञ,1
शुभ्रादिभ्य,1
विकर्णकुषीतकात्,1
काश्यपे,1
भ्रुव,1
वुक्,2
कल्याण्यादीनाम्,1
इनङ्,1
कुलटाया,1
चटकाया,1
ऐरक्,1
गोधाया,1
ढ्रक्,1
आरक्,1
क्षुद्राभ्य,1
पितृष्वसु,1
छण्,2
मातृष्वसु,1
चतुष्पाद्‍भ्य,1
ढञ्,8
गृष्ट्‍यादिभ्य,1
राजश्वशुरात्,1
यत्,227
क्षत्रात्,1
कुलात्,1
ख,8
अपूर्वपदात्,1
यड्‍ढकञौ,1
महाकुलात्,1
अञ्खञौ,1
दुष्कुलात्,1
स्वसु,1
छ,18
भ्रातु,1
व्यत्,1
रेवत्यादिभ्य,1
ठक्,23
वृद्धात्,5
सौवीरेषु,1
फे,1
फाण्टाहृतिमिमताभ्याम्,1
णफिञौ,1
कुर्वादिभ्य,1
सेनान्तलक्षणकारिभ्य,1
कौसल्यकार्मार्याभ्याम्,1
अण,4
द्‍व्यच,4
अगोत्रात्,1
वाकिनादीनाम्,1
कुक्,3
पुत्रान्तात्,1
अवृद्धात्,2
फिन्,1
जातौ,3
अञ्यतौ,1
षुक्,2
पौत्रप्रभृति,1
गोत्रम्,1
अन्यस्मिन्,1
सपिण्डे,1
स्थविरतरे,1
